11,Scotch-Brite Plastic Floor Squeegee Wiper -with telescopic handle (Green/Silver),B00NBM3EH0,419,600,  #159 in Home Improvement (See Top 100 in Home Improvement)  #5 in Squeegees   
12,Scotch-Brite Jumper Spin Mop compact one Bucket Mop,B00T425C9E,"2,199","4,200","  #1,265 in Home Improvement (See Top 100 in Home Improvement)  #53 in Household Bucket Mops   "
13,Scotch-Brite Plastic Scotch Brite Telescopic Handle Cotton Mop with Looped Cotton Threads,B07WTWDHPN,420,500,"  #2,067 in Home Improvement (See Top 100 in Home Improvement)  #39 in Household Wet & Dry Mops   "
14,"Scotch-Brite Plastic Handle Cotton Mop Refill, 1 Piece",B00NBM2ONU,270,300,  #522 in Home Improvement (See Top 100 in Home Improvement)  #18 in Household Mop Accessories   
15,"Scotch-Brite Fibre Broom (Green) - Pack of 2, Plastic, Hard_Floor",B07R8KGMJX,695,750,"  #16,160 in Home Improvement (See Top 100 in Home Improvement)  #275 in Brooms (Home Improvement)   "
16,Scotch-Brite Plastic Spin Mop Head and Handle (Suitable for Scotch-Brite 2 in 1 Spin Mop Only),B0BNV1FHVB,645,675,  #61 in Home Improvement (See Top 100 in Home Improvement)  #10 in Household Bucket Mops   
17,"Scotch-Brite 2-in-1 Bucket Spin Mop Refill ( Microfiber, White )",B08BK7WKK5,270,299,  #206 in Home Improvement (See Top 100 in Home Improvement)  #20 in Household Bucket Mops   
18,"Scotch-Brite Combo | No-Dust Broom, Long Handle, Easy Floor Cleaning (Multi-use) | 1 Additional Refill Head, Plastic Fibre",B0BNTTSGQ7,500,590,  #537 in Home Improvement (See Top 100 in Home Improvement)  #17 in Brooms (Home Improvement)   
19,Scotch-Brite Telescopic Handle for scotch-brite mops & squeegees,B0BPBSK9X1,305,349,"  #2,180 in Home Improvement (See Top 100 in Home Improvement)  #35 in Squeegees   "
20,Scotch-Brite Microfiber Strip Mop with Telescopic Handle for Fine Dirt Removal,B07WVZX54X,"1,290","1,290","  #8,907 in Home Improvement (See Top 100 in Home Improvement)  #143 in Household Wet & Dry Mops   "
1,"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",B07LDKFM2Y,"1,089","1,800",  #5 in Home Improvement (See Top 100 in Home Improvement)  #2 in Household Bucket Mops   
2,Scotch-Brite Supreme Spin Mop (2N Microfiber Refills),B089Z7K5F3,"1,699","2,399","  #1,765 in Home Improvement (See Top 100 in Home Improvement)  #72 in Household Bucket Mops   "
3,"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",B07LC7LF9Y,249,375,  #11 in Home Improvement (See Top 100 in Home Improvement)  #1 in Brooms (Home Improvement)   
4,"Scotch-Brite Multi-purpose Microfiber Flat Mop with 1 extra refill for Dry & Wet Cleaning, 360 degree Rotating head and Telescopic handle, suitable for Floor, Glass, Ceiling and Walls (Green)",B00NQ03WR4,"1,399","1,848",  #404 in Home Improvement (See Top 100 in Home Improvement)  #4 in Household Wet & Dry Mops   
5,Scotch-Brite Jumper Spin Mop with Round Refill Heads,B00T425GKY,"1,899","3,850","  #12,169 in Home Improvement (See Top 100 in Home Improvement)  #261 in Household Bucket Mops   "
6,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),B00NBM3IE4,375,450,  #13 in Home Improvement (See Top 100 in Home Improvement)  #1 in Squeegees   
7,"Scotch-Brite Plastic No Dust Broom Hard_Floor Refill Head without Handle (This Product Does Not Contain A Handle, Only Refill Suitable to Be Used with Broom), Ash",B0C82497NH,215,250,  #251 in Home Improvement (See Top 100 in Home Improvement)  #8 in Brooms (Home Improvement)   
8,Scotch-Brite Bathroom Squeegee Plastic Wiper with telescopic handle (30 cm),B07WVZY442,440,550,  #969 in Home Improvement (See Top 100 in Home Improvement)  #21 in Squeegees   
9,Scotch-Brite Bathroom Squeegee Wiper- Pack of 2,B07MLQQCZQ,730,900,  #354 in Home Improvement (See Top 100 in Home Improvement)  #9 in Squeegees   
10,Scotch-Brite Butterfly Plastic Mop and Refill Combo (Green),B00NBM2YNA,"1,629","2,000","  #1,168 in Home Improvement (See Top 100 in Home Improvement)  #19 in Household Wet & Dry Mops   "
11,Scotch-Brite Plastic Floor Squeegee Wiper -with telescopic handle (Green/Silver),B00NBM3EH0,437,600,  #128 in Home Improvement (See Top 100 in Home Improvement)  #5 in Squeegees   
12,Scotch-Brite Jumper Spin Mop compact one Bucket Mop,B00T425C9E,"2,199","4,200","  #1,265 in Home Improvement (See Top 100 in Home Improvement)  #56 in Household Bucket Mops   "
13,Scotch-Brite Plastic Scotch Brite Telescopic Handle Cotton Mop with Looped Cotton Threads,B07WTWDHPN,525,600,"  #3,677 in Home Improvement (See Top 100 in Home Improvement)  #73 in Household Wet & Dry Mops   "
14,"Scotch-Brite Plastic Handle Cotton Mop Refill, 1 Piece",B00NBM2ONU,270,300,  #772 in Home Improvement (See Top 100 in Home Improvement)  #18 in Household Mop Accessories   
